table_schema,table_name,column_name,data_type,row_count,null_count,null_rate,profile_tier,profile_mode,exact_distinct_count,approx_distinct_count,distinct_count_for_catalog,distinct_is_exact,distinct_rate,min_value,max_value,profile_seconds,profile_sql
main,stg_hospital,MUNIC_MOV,INTEGER,6873,0,0.0,small,exact,3606,,3606,True,0.524662,110001,530010,0.001,"SELECT COUNT(*) FILTER (WHERE ""MUNIC_MOV"" IS NULL) AS null_count, COUNT(DISTINCT ""MUNIC_MOV"") AS distinct_count, MIN(""MUNIC_MOV"") AS min_value, MAX(""MUNIC_MOV"") AS max_value FROM ""main"".""stg_hospital"""
main,stg_hospital,NATUREZA,VARCHAR,6873,0,0.0,small,exact,9,,9,True,0.001309,00,80,0.001,"SELECT COUNT(*) FILTER (WHERE ""NATUREZA"" IS NULL) AS null_count, COUNT(DISTINCT ""NATUREZA"") AS distinct_count, MIN(""NATUREZA"") AS min_value, MAX(""NATUREZA"") AS max_value FROM ""main"".""stg_hospital"""
main,stg_hospital,GESTAO,VARCHAR,6873,0,0.0,small,exact,2,,2,True,0.000291,1,2,0.001,"SELECT COUNT(*) FILTER (WHERE ""GESTAO"" IS NULL) AS null_count, COUNT(DISTINCT ""GESTAO"") AS distinct_count, MIN(""GESTAO"") AS min_value, MAX(""GESTAO"") AS max_value FROM ""main"".""stg_hospital"""
main,stg_hospital,NAT_JUR,VARCHAR,6873,5575,0.811145,small,exact,25,,25,True,0.003637,,3999,0.001,"SELECT COUNT(*) FILTER (WHERE ""NAT_JUR"" IS NULL) AS null_count, COUNT(DISTINCT ""NAT_JUR"") AS distinct_count, MIN(""NAT_JUR"") AS min_value, MAX(""NAT_JUR"") AS max_value FROM ""main"".""stg_hospital"""
main,stg_internacoes,N_AIH,BIGINT,183877219,0,0.0,large,exact,183877219,,183877219,True,1.0,1107100903524,9923300006499,3.426,"SELECT COUNT(*) FILTER (WHERE ""N_AIH"" IS NULL) AS null_count, COUNT(DISTINCT ""N_AIH"") AS distinct_count, MIN(""N_AIH"") AS min_value, MAX(""N_AIH"") AS max_value FROM ""main"".""stg_internacoes"""
main,stg_sexo,SEXO,TINYINT,2,0,0.0,small,exact,2,,2,True,1.0,1,3,0.001,"SELECT COUNT(*) FILTER (WHERE ""SEXO"" IS NULL) AS null_count, COUNT(DISTINCT ""SEXO"") AS distinct_count, MIN(""SEXO"") AS min_value, MAX(""SEXO"") AS max_value FROM ""main"".""stg_sexo"""
main,stg_sexo,DESCRICAO,VARCHAR,2,0,0.0,small,exact,2,,2,True,1.0,Feminino,Masculino,0.001,"SELECT COUNT(*) FILTER (WHERE ""DESCRICAO"" IS NULL) AS null_count, COUNT(DISTINCT ""DESCRICAO"") AS distinct_count, MIN(""DESCRICAO"") AS min_value, MAX(""DESCRICAO"") AS max_value FROM ""main"".""stg_sexo"""
main,tempo,data,DATE,6210,0,0.0,small,exact,6210,,6210,True,1.0,2008-01-01,2024-12-31,0.001,"SELECT COUNT(*) FILTER (WHERE ""data"" IS NULL) AS null_count, COUNT(DISTINCT ""data"") AS distinct_count, MIN(""data"") AS min_value, MAX(""data"") AS max_value FROM ""main"".""tempo"""
main,tempo,ano,SMALLINT,6210,0,0.0,small,exact,17,,17,True,0.002738,2008,2024,0.001,"SELECT COUNT(*) FILTER (WHERE ""ano"" IS NULL) AS null_count, COUNT(DISTINCT ""ano"") AS distinct_count, MIN(""ano"") AS min_value, MAX(""ano"") AS max_value FROM ""main"".""tempo"""
main,tempo,mes,TINYINT,6210,0,0.0,small,exact,12,,12,True,0.001932,1,12,0.001,"SELECT COUNT(*) FILTER (WHERE ""mes"" IS NULL) AS null_count, COUNT(DISTINCT ""mes"") AS distinct_count, MIN(""mes"") AS min_value, MAX(""mes"") AS max_value FROM ""main"".""tempo"""
main,tempo,trimestre,TINYINT,6210,0,0.0,small,exact,4,,4,True,0.000644,1,4,0.001,"SELECT COUNT(*) FILTER (WHERE ""trimestre"" IS NULL) AS null_count, COUNT(DISTINCT ""trimestre"") AS distinct_count, MIN(""trimestre"") AS min_value, MAX(""trimestre"") AS max_value FROM ""main"".""tempo"""
main,tempo,dia_semana,TINYINT,6210,0,0.0,small,exact,7,,7,True,0.001127,1,7,0.001,"SELECT COUNT(*) FILTER (WHERE ""dia_semana"" IS NULL) AS null_count, COUNT(DISTINCT ""dia_semana"") AS distinct_count, MIN(""dia_semana"") AS min_value, MAX(""dia_semana"") AS max_value FROM ""main"".""tempo"""
main,vincprev,VINCPREV,TINYINT,6,0,0.0,small,exact,6,,6,True,1.0,1,6,0.001,"SELECT COUNT(*) FILTER (WHERE ""VINCPREV"" IS NULL) AS null_count, COUNT(DISTINCT ""VINCPREV"") AS distinct_count, MIN(""VINCPREV"") AS min_value, MAX(""VINCPREV"") AS max_value FROM ""main"".""vincprev"""
main,vincprev,DESCRICAO,VARCHAR,6,0,0.0,small,exact,6,,6,True,1.0,Aposentado,Não segurado,0.0,"SELECT COUNT(*) FILTER (WHERE ""DESCRICAO"" IS NULL) AS null_count, COUNT(DISTINCT ""DESCRICAO"") AS distinct_count, MIN(""DESCRICAO"") AS min_value, MAX(""DESCRICAO"") AS max_value FROM ""main"".""vincprev"""
