table_schema,table_name,column_name,data_type,row_count,null_count,null_rate,profile_tier,profile_mode,exact_distinct_count,approx_distinct_count,distinct_count_for_catalog,distinct_is_exact,distinct_rate,min_value,max_value,profile_seconds,profile_sql
main,contraceptivos,CONTRACEPTIVO,TINYINT,12,0,0.0,small,exact,12,,12,True,1.0,1,12,0.001,"SELECT COUNT(*) FILTER (WHERE ""CONTRACEPTIVO"" IS NULL) AS null_count, COUNT(DISTINCT ""CONTRACEPTIVO"") AS distinct_count, MIN(""CONTRACEPTIVO"") AS min_value, MAX(""CONTRACEPTIVO"") AS max_value FROM ""main"".""contraceptivos"""
main,contraceptivos,DESCRICAO,VARCHAR,12,0,0.0,small,exact,12,,12,True,1.0,Billings,Temperatura basal,0.0,"SELECT COUNT(*) FILTER (WHERE ""DESCRICAO"" IS NULL) AS null_count, COUNT(DISTINCT ""DESCRICAO"") AS distinct_count, MIN(""DESCRICAO"") AS min_value, MAX(""DESCRICAO"") AS max_value FROM ""main"".""contraceptivos"""
main,especialidade,ESPEC,TINYINT,70,0,0.0,small,exact,70,,70,True,1.0,1,95,0.001,"SELECT COUNT(*) FILTER (WHERE ""ESPEC"" IS NULL) AS null_count, COUNT(DISTINCT ""ESPEC"") AS distinct_count, MIN(""ESPEC"") AS min_value, MAX(""ESPEC"") AS max_value FROM ""main"".""especialidade"""
main,especialidade,DESCRICAO,VARCHAR,70,0,0.0,small,exact,63,,63,True,0.9,ACOLHIMENTO NOTURNO,UTI PEDIATRICA - TIPO III,0.0,"SELECT COUNT(*) FILTER (WHERE ""DESCRICAO"" IS NULL) AS null_count, COUNT(DISTINCT ""DESCRICAO"") AS distinct_count, MIN(""DESCRICAO"") AS min_value, MAX(""DESCRICAO"") AS max_value FROM ""main"".""especialidade"""
main,etnia,ETNIA,SMALLINT,264,0,0.0,small,exact,264,,264,True,1.0,1,264,0.001,"SELECT COUNT(*) FILTER (WHERE ""ETNIA"" IS NULL) AS null_count, COUNT(DISTINCT ""ETNIA"") AS distinct_count, MIN(""ETNIA"") AS min_value, MAX(""ETNIA"") AS max_value FROM ""main"".""etnia"""
main,etnia,DESCRICAO,VARCHAR,264,0,0.0,small,exact,264,,264,True,1.0,"ACONA (WAKONAS, NACONAS, JAKONA, ACORA­NES)","ZURUAHA (SOROWAHA, SURUWAHA)",0.001,"SELECT COUNT(*) FILTER (WHERE ""DESCRICAO"" IS NULL) AS null_count, COUNT(DISTINCT ""DESCRICAO"") AS distinct_count, MIN(""DESCRICAO"") AS min_value, MAX(""DESCRICAO"") AS max_value FROM ""main"".""etnia"""
main,hospital,CNES,INTEGER,6873,0,0.0,small,exact,6873,,6873,True,1.0,27,9997784,0.001,"SELECT COUNT(*) FILTER (WHERE ""CNES"" IS NULL) AS null_count, COUNT(DISTINCT ""CNES"") AS distinct_count, MIN(""CNES"") AS min_value, MAX(""CNES"") AS max_value FROM ""main"".""hospital"""
main,hospital,NO_HOSPITAL,VARCHAR,6873,3146,0.457733,small,exact,3196,,3196,True,0.465008,ABIMED SERVICOS MEDICOS LTDA,Y A PENHA E CIA LTDA,0.001,"SELECT COUNT(*) FILTER (WHERE ""NO_HOSPITAL"" IS NULL) AS null_count, COUNT(DISTINCT ""NO_HOSPITAL"") AS distinct_count, MIN(""NO_HOSPITAL"") AS min_value, MAX(""NO_HOSPITAL"") AS max_value FROM ""main"".""hospital"""
main,hospital,MUNIC_MOV,INTEGER,6873,0,0.0,small,exact,3618,,3618,True,0.526408,110001,530180,0.001,"SELECT COUNT(*) FILTER (WHERE ""MUNIC_MOV"" IS NULL) AS null_count, COUNT(DISTINCT ""MUNIC_MOV"") AS distinct_count, MIN(""MUNIC_MOV"") AS min_value, MAX(""MUNIC_MOV"") AS max_value FROM ""main"".""hospital"""
main,hospital,NATUREZA,VARCHAR,6873,0,0.0,small,exact,9,,9,True,0.001309,00,80,0.001,"SELECT COUNT(*) FILTER (WHERE ""NATUREZA"" IS NULL) AS null_count, COUNT(DISTINCT ""NATUREZA"") AS distinct_count, MIN(""NATUREZA"") AS min_value, MAX(""NATUREZA"") AS max_value FROM ""main"".""hospital"""
