table_schema,table_name,column_name,data_type,row_count,null_count,null_rate,approx_distinct,approx_distinct_rate,min_value,max_value,profile_seconds
main,stg_hospital,MUNIC_MOV,INTEGER,6873,0,0.0,3836,0.558126,110001,530010,0.003
main,stg_hospital,NATUREZA,VARCHAR,6873,0,0.0,10,0.001455,00,80,0.003
main,stg_hospital,GESTAO,VARCHAR,6873,0,0.0,2,0.000291,1,2,0.003
main,stg_hospital,NAT_JUR,VARCHAR,6873,5575,0.811145,29,0.004219,,3999,0.003
main,stg_internacoes,N_AIH,BIGINT,183877219,0,0.0,248163325,1.349614,1107100903524,9923300006499,65.208
main,stg_internacoes,CNES,INTEGER,183877219,0,0.0,7137,3.9e-05,27,9997784,65.208
main,stg_internacoes,DT_INTER,DATE,183877219,0,0.0,5779,3.1e-05,2000-01-01,2023-12-31,65.208
main,stg_internacoes,DT_SAIDA,DATE,183877219,0,0.0,5779,3.1e-05,2007-08-01,2023-12-31,65.208
main,stg_internacoes,DIAS_PERM,BIGINT,183877219,0,0.0,1624,9e-06,0,3406,65.208
main,stg_internacoes,DIAR_ACOM,SMALLINT,183877219,0,0.0,243,1e-06,0,361,65.208
main,stg_internacoes,CAR_INT,TINYINT,183877219,0,0.0,6,0.0,1,6,65.208
main,stg_internacoes,ESPEC,TINYINT,183877219,0,0.0,17,0.0,1,87,65.208
main,stg_internacoes,COMPLEX,VARCHAR,183877219,0,0.0,3,0.0,00,03,65.208
main,stg_internacoes,MARCA_UTI,TINYINT,183877219,0,0.0,18,0.0,0,99,65.208
main,stg_internacoes,UTI_INT_TO,TINYINT,183877219,0,0.0,28,0.0,0,125,65.208
main,stg_internacoes,IND_VDRL,BOOLEAN,183877219,0,0.0,2,0.0,False,True,65.208
main,stg_internacoes,MORTE,BOOLEAN,183877219,0,0.0,2,0.0,False,True,65.208
main,stg_internacoes,CID_MORTE,VARCHAR,183877219,181005234,0.984381,6994,3.8e-05,A000,Z999,65.208
main,stg_internacoes,GESTRISCO,BOOLEAN,183877219,0,0.0,2,0.0,False,True,65.208
main,stg_internacoes,DIAG_PRINC,VARCHAR,183877219,0,0.0,12057,6.6e-05,A00,Z999,65.208
main,stg_internacoes,DIAG_SECUN,VARCHAR,183877219,173333293,0.942658,13216,7.2e-05,A000,Z999,65.208
main,stg_internacoes,CID_MORTE_1,VARCHAR,183877219,181005234,0.984381,6994,3.8e-05,A000,Z999,65.208
main,stg_internacoes,CID_NOTIF,VARCHAR,183877219,182133421,0.990517,62,0.0,A302,Z320,65.208
main,stg_internacoes,DIAGSEC1,VARCHAR,183877219,162249314,0.882379,14603,7.9e-05,A00,Z999,65.208
main,stg_internacoes,DIAGSEC2,VARCHAR,183877219,181551621,0.987352,10905,5.9e-05,A000,Z999,65.208
main,stg_internacoes,DIAGSEC3,VARCHAR,183877219,182981710,0.99513,6766,3.7e-05,A000,Z999,65.208
main,stg_internacoes,DIAGSEC4,VARCHAR,183877219,183511583,0.998012,5977,3.3e-05,A000,Z999,65.208
main,stg_internacoes,DIAGSEC5,VARCHAR,183877219,183737940,0.999243,4743,2.6e-05,A000,Z993,65.208
