schema_name,table_name,has_primary_key,estimated_size,column_count,index_count,check_constraint_count,sql
main,stg_internacoes,False,183877219,47,0,0,"CREATE TABLE stg_internacoes(N_AIH BIGINT, CNES INTEGER, DT_INTER DATE, DT_SAIDA DATE, DIAS_PERM BIGINT, DIAR_ACOM SMALLINT, CAR_INT TINYINT, ESPEC TINYINT, COMPLEX VARCHAR, MARCA_UTI TINYINT, UTI_INT_TO TINYINT, IND_VDRL BOOLEAN, MORTE BOOLEAN, CID_MORTE VARCHAR, GESTRISCO BOOLEAN, DIAG_PRINC VARCHAR, DIAG_SECUN VARCHAR, CID_MORTE_1 VARCHAR, CID_NOTIF VARCHAR, DIAGSEC1 VARCHAR, DIAGSEC2 VARCHAR, DIAGSEC3 VARCHAR, DIAGSEC4 VARCHAR, DIAGSEC5 VARCHAR, DIAGSEC6 VARCHAR, DIAGSEC7 VARCHAR, DIAGSEC8 VARCHAR, DIAGSEC9 VARCHAR, VAL_SH DOUBLE, VAL_SP DOUBLE, VAL_UTI DOUBLE, VAL_TOT DOUBLE, NASC DATE, IDADE SMALLINT, SEXO TINYINT, RACA_COR TINYINT, ETNIA SMALLINT, NACIONAL SMALLINT, INSTRU TINYINT, VINCPREV TINYINT, CBOR VARCHAR, MUNIC_RES INTEGER, CEP VARCHAR, NUM_FILHOS TINYINT, CONTRACEP1 TINYINT, CONTRACEP2 TINYINT, INSC_PN VARCHAR);"
main,stg_sexo,False,2,2,0,0,"CREATE TABLE stg_sexo(SEXO TINYINT, DESCRICAO VARCHAR);"
main,tempo,True,6210,5,1,0,"CREATE TABLE tempo(""data"" DATE, ano SMALLINT, mes TINYINT, trimestre TINYINT, dia_semana TINYINT, PRIMARY KEY(""data""));"
main,vincprev,True,6,2,1,0,"CREATE TABLE vincprev(VINCPREV TINYINT, DESCRICAO VARCHAR, PRIMARY KEY(VINCPREV));"
main_dbt_test__audit,accepted_values_stg_internacoes_RACA_COR__0__1__2__3__4__5,False,0,2,0,0,"CREATE TABLE main_dbt_test__audit.accepted_values_stg_internacoes_RACA_COR__0__1__2__3__4__5(value_field TINYINT, n_records BIGINT);"
main_dbt_test__audit,accepted_values_stg_sexo_SEXO__0__1__3,False,0,2,0,0,"CREATE TABLE main_dbt_test__audit.accepted_values_stg_sexo_SEXO__0__1__3(value_field TINYINT, n_records BIGINT);"
main_dbt_test__audit,dbt_utils_source_accepted_rang_1a18b2060f4c9f3544ea148aa02bd0ef,False,0,11,0,0,"CREATE TABLE main_dbt_test__audit.dbt_utils_source_accepted_rang_1a18b2060f4c9f3544ea148aa02bd0ef(CO_MUNICIPIO_6D INTEGER, NU_ANO SMALLINT, QT_POPULACAO BIGINT, VL_PIB_PERCAPITA DOUBLE, QT_OBITOS_INFANTIS INTEGER, QT_NASCIDOS_VIVOS INTEGER, VL_MORT_INFANTIL DOUBLE, QT_LEITOS_SUS INTEGER, VL_LEITOS_SUS_1000 DOUBLE, QT_MEDICOS INTEGER, VL_MEDICOS_1000 DOUBLE);"
main_dbt_test__audit,dbt_utils_source_accepted_rang_3102aa068aea89a943afb942e0556f12,False,0,11,0,0,"CREATE TABLE main_dbt_test__audit.dbt_utils_source_accepted_rang_3102aa068aea89a943afb942e0556f12(CO_MUNICIPIO_6D INTEGER, NU_ANO SMALLINT, QT_POPULACAO BIGINT, VL_PIB_PERCAPITA DOUBLE, QT_OBITOS_INFANTIS INTEGER, QT_NASCIDOS_VIVOS INTEGER, VL_MORT_INFANTIL DOUBLE, QT_LEITOS_SUS INTEGER, VL_LEITOS_SUS_1000 DOUBLE, QT_MEDICOS INTEGER, VL_MEDICOS_1000 DOUBLE);"
main_dbt_test__audit,dbt_utils_source_accepted_rang_3e54c8366885e58155d2f77835412cbe,False,0,7,0,0,"CREATE TABLE main_dbt_test__audit.dbt_utils_source_accepted_rang_3e54c8366885e58155d2f77835412cbe(CO_MUNICIPIO_6D INTEGER, CO_MUNICIPIO_7D INTEGER, NO_MUNICIPIO VARCHAR, SG_UF VARCHAR, NO_REGIAO_SAUDE VARCHAR, latitude FLOAT, longitude FLOAT);"
main_dbt_test__audit,dbt_utils_source_accepted_rang_6890d7ed6eb2ca06debd4047d5b3d939,False,0,11,0,0,"CREATE TABLE main_dbt_test__audit.dbt_utils_source_accepted_rang_6890d7ed6eb2ca06debd4047d5b3d939(CO_MUNICIPIO_6D INTEGER, NU_ANO SMALLINT, QT_POPULACAO BIGINT, VL_PIB_PERCAPITA DOUBLE, QT_OBITOS_INFANTIS INTEGER, QT_NASCIDOS_VIVOS INTEGER, VL_MORT_INFANTIL DOUBLE, QT_LEITOS_SUS INTEGER, VL_LEITOS_SUS_1000 DOUBLE, QT_MEDICOS INTEGER, VL_MEDICOS_1000 DOUBLE);"
main_dbt_test__audit,dbt_utils_source_accepted_rang_777c86d82b14a00657691c6db817c463,False,0,11,0,0,"CREATE TABLE main_dbt_test__audit.dbt_utils_source_accepted_rang_777c86d82b14a00657691c6db817c463(CO_MUNICIPIO_6D INTEGER, NU_ANO SMALLINT, QT_POPULACAO BIGINT, VL_PIB_PERCAPITA DOUBLE, QT_OBITOS_INFANTIS INTEGER, QT_NASCIDOS_VIVOS INTEGER, VL_MORT_INFANTIL DOUBLE, QT_LEITOS_SUS INTEGER, VL_LEITOS_SUS_1000 DOUBLE, QT_MEDICOS INTEGER, VL_MEDICOS_1000 DOUBLE);"
main_dbt_test__audit,dbt_utils_source_accepted_rang_86cab16768069715b1d6349bd3387189,False,0,7,0,0,"CREATE TABLE main_dbt_test__audit.dbt_utils_source_accepted_rang_86cab16768069715b1d6349bd3387189(CO_MUNICIPIO_6D INTEGER, CO_MUNICIPIO_7D INTEGER, NO_MUNICIPIO VARCHAR, SG_UF VARCHAR, NO_REGIAO_SAUDE VARCHAR, latitude FLOAT, longitude FLOAT);"
